scenario,token,observed,operator_bound,online_bound,online_realized_bound,diagonal_bound,structural_bound,transition_bound,A_norm,B_norm,spectral_radius_A,coefficient_error,update_error,rounding_error,rounding_bound,state_bound,energy_identity_error,driven_energy_identity_error,decomposition_error,approx_decomposition_error
marginal,24,0.005999999999999999,0.005999999999999999,0.005999999999999999,0.005999999999999999,0.005999999999999999,nan,0.005999999999999999,1.0,1.0,1.0,0.0,0.00030000000000000003,0.0,0.0,0.0,nan,nan,0.0,0.0
switching-nonnormal,1,2.0615528128088303e-06,2.1180339887498947e-06,2.1180339887498947e-06,2.1180339887498947e-06,nan,nan,2.1180339887498947e-06,2.118033988749895,1.0,0.5,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0
switching-nonnormal,2,4.366062299143245e-06,4.4860679774997896e-06,4.4860679774997896e-06,4.4860679774997896e-06,nan,nan,4.48606797749979e-06,2.118033988749895,1.0,0.5,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0
switching-nonnormal,3,9.24746586909084e-06,9.501644452187053e-06,9.501644452187053e-06,9.501644452187053e-06,nan,nan,9.501644452187056e-06,2.118033988749895,1.0,0.5,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0
switching-nonnormal,4,1.9586447004242498e-05,2.0124805898749053e-05,2.0124805898749053e-05,2.0124805898749053e-05,nan,nan,2.0124805898749046e-05,2.118033988749895,1.0,0.5,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0
switching-nonnormal,5,4.148476047372698e-05,4.262502291054487e-05,4.262502291054487e-05,4.262502291054487e-05,nan,nan,4.2625022910544887e-05,2.118033988749895,1.0,0.5,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0
switching-nonnormal,6,8.786613269850122e-05,9.028124729577701e-05,9.028124729577701e-05,9.028124729577701e-05,nan,nan,9.028124729577701e-05,2.118033988749895,1.0,0.5,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0
switching-nonnormal,7,0.0001861034555154341,0.00019121875031919024,0.00019121875031919024,0.00019121875031919024,nan,nan,0.00019121875031919019,2.118033988749895,1.0,0.5,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0
switching-nonnormal,8,0.0003941734442054935,0.0004050078124623247,0.0004050078124623247,0.0004050078124623247,nan,nan,0.0004050078124623247,2.118033988749895,1.0,0.5,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0
switching-nonnormal,9,0.0008348727522898455,0.000857820312504447,0.000857820312504447,0.000857820312504447,nan,nan,0.0008578203125044469,2.118033988749895,1.0,0.5,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0
switching-nonnormal,10,0.0017682888656310645,0.0018168925781244752,0.0018168925781244752,0.0018168925781244752,nan,nan,0.0018168925781244757,2.118033988749895,1.0,0.5,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0
switching-nonnormal,11,0.00374529591933459,0.0038482402343750625,0.0038482402343750625,0.0038482402343750625,nan,nan,0.0038482402343750625,2.118033988749895,1.0,0.5,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0
switching-nonnormal,12,0.007932664055076945,0.008150703613281244,0.008150703613281244,0.008150703613281244,nan,nan,0.008150703613281242,2.118033988749895,1.0,0.5,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0
switching-nonnormal,13,0.01680165208998754,0.017263467285156254,0.017263467285156254,0.017263467285156254,nan,nan,0.01726346728515625,2.118033988749895,1.0,0.5,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0
