abstention_fraction,any_committed_coverage_failure,any_false_safe,any_local_false_safe,any_local_risk_violation,any_mean_risk_violation,any_pathwise_budget_violation,any_reported_coverage_failure,audit_cost_ms,audit_cost_ms_per_round,audit_fraction,audits,certificate_available_rounds,committed_catastrophes,committed_loss,delta,epsilon,exact_actions,fast_commit_fraction,fast_commits,fast_selective_risk,final_committed_upper,final_reported_upper,first_reset_round,intended_loss,intended_selective_risk,intended_weight,labels_observed,matched_exact_ms,matched_exact_tokens_per_second,max_local_intended_risk,max_pending_labels,policy,proposals,reset_cost_ms,reset_cost_ms_per_round,reset_reasons,reset_rounds,reset_shadow_actions,resets,rounds,saved_ms_per_round,seed,startup_budget,support_abstentions,throughput_reward_tokens_per_second,throughput_tokens_per_second,total_ms
0.3785833333333333,False,True,True,True,True,False,True,1455750.765619625,121.31256380163542,0.12333333333333334,1480,7457,324,415.659161485718,0.05,0.06,4543,0.4980833333333333,5977,0.06954310883147365,inf,0.060128498386752084,,409.91461208869316,0.06871305687418493,5965.600000000808,1480,8751410.393824292,1.3712075494103415,0.1960795165697142,3,importance_weighted_nominal,7457,0.0,0.0,[],[],0,0,12000,203.135923396173,20268903,60.0,0,0.5293973664375538,1.9006049158478953,6313779.313070216
0.29375,False,True,True,True,True,True,True,0.0,0.0,0.0,0,8475,515,660.8676574894787,0.05,0.06,3525,0.70625,8475,0.0779784846595255,inf,0.009111786215248142,,660.8676574894787,0.0779784846595255,8475.0,0,8906608.269738913,1.3473142229428898,0.2301950119779965,0,naive_calibration,8475,0.0,0.0,[],[],0,0,12000,330.79657283813765,20268903,60.0,0,1.0832873445636322,2.430601567506522,4937049.395681261
0.30283333333333334,False,True,True,True,True,True,True,0.0,0.0,0.0,0,8366,487,614.5109609145959,0.05,0.06,3634,0.6971666666666667,8366,0.07345337806772602,inf,-0.005379163238342882,,614.5109609145959,0.07345337806772602,8366.0,0,8896918.044992015,1.3487816724078603,0.20654907491438,0,split_conformal,8366,0.0,0.0,[],[],0,0,12000,326.45706263223616,20268903,60.0,0,1.0611311214622652,2.4099127938701255,4979433.293405181
0.6683333333333333,False,False,False,False,False,False,False,710847.7555717813,59.23731296431511,0.059083333333333335,709,3980,3,28.175788892178144,0.05,0.06,5620,0.27258333333333334,3271,0.008613815008308818,79.57759640782987,0.020965755989428105,4200,26.274359084267193,0.008050728975446028,3263.600000000191,709,8390305.222197236,1.4302221054191238,0.012787217121128208,2,anytime_random_audit,3980,2067459.3456986428,172.28827880822024,['traffic_epoch_change_point'],[4200],2400,1,12000,76.11754826186846,20269912,60.0,0,0.17472226960248172,1.6049443750216055,7476894.643054815
0.30483333333333335,False,True,True,True,True,True,True,1674459.9841353574,139.53833201127978,0.14216666666666666,1706,8342,378,484.511236588245,0.05,0.06,3658,0.553,6636,0.07301254318689648,inf,0.06089953213826994,,474.20825765953003,0.07105733901634217,6673.600000000969,1706,8788079.561667828,1.365486044566784,0.18472404184083974,4,importance_weighted_nominal,8342,0.0,0.0,[],[],0,0,12000,223.41043779051583,20269912,60.0,0,0.5994225518844027,1.9649085964511868,6107154.308181638
0.2738333333333333,False,True,True,True,True,True,True,0.0,0.0,0.0,0,8714,499,643.2919165411562,0.05,0.06,3286,0.7261666666666666,8714,0.07382280428519121,inf,0.009111786215248142,,643.2919165411562,0.07382280428519121,8714.0,0,8885762.357371705,1.350475009051384,0.19752559712027815,0,naive_calibration,8714,0.0,0.0,[],[],0,0,12000,339.49497862692505,20269912,60.0,0,1.1433825087763836,2.4938575178277675,4811822.613848604
0.2856666666666667,False,True,True,True,True,True,True,0.0,0.0,0.0,0,8572,492,632.036345419852,0.05,0.06,3428,0.7143333333333334,8572,0.07373265812177461,inf,-0.005379163238342882,,632.036345419852,0.07373265812177461,8572.0,0,8880972.201523112,1.3512034186912516,0.17293343096745048,0,split_conformal,8572,0.0,0.0,[],[],0,0,12000,333.9910580589266,20269912,60.0,0,1.1113051425051286,2.46250856119638,4873079.504815993
0.6736666666666666,False,False,False,False,False,False,False,688511.3614297088,57.37594678580906,0.05725,687,3916,2,26.20304794307972,0.05,0.06,5684,0.26908333333333334,3229,0.008114911100365352,98.81460529941052,0.026740034846044,4200,26.323983662642316,0.008197757686614278,3211.1200000001804,687,8431235.623430824,1.4232789280199218,0.013898828239975958,2,anytime_random_audit,3916,2091903.670045437,174.32530583711974,['traffic_epoch_change_point'],[4200],2400,1,12000,74.48694360213766,20270921,60.0,0,0.16878362120858958,1.5920625492285114,7537392.300205172
0.49141666666666667,False,True,True,True,True,False,True,1179889.6806629451,98.32414005524542,0.1,1200,6103,241,311.42556997983814,0.05,0.06,5897,0.40858333333333335,4903,0.0635173505975603,inf,0.06005017254151285,,314.3744182690195,0.0643893204712812,4882.400000000562,1200,8630998.614807514,1.3903373798962915,0.19927986968484476,3,importance_weighted_nominal,6103,0.0,0.0,[],[],0,0,12000,166.74414755872877,20270921,60.0,0,0.41959857735603934,1.8099359572523308,6630068.844102769
0.30333333333333334,False,True,True,True,True,True,True,0.0,0.0,0.0,0,8360,557,698.1258145906068,0.05,0.06,3640,0.6966666666666667,8360,0.08350787255868501,inf,0.009111786215248142,,698.1258145906068,0.08350787255868501,8360.0,0,8903558.53264801,1.3477757186632517,0.2177668539263163,0,naive_calibration,8360,0.0,0.0,[],[],0,0,12000,325.8457180814703,20270921,60.0,0,1.055391696521607,2.4031674151848588,4993409.915670367
